competition, event, scores
2020 Championships,4CC,111.82
2020 Championships,4CC,1
2020 Championships,4CC,187.60
2020 Championships,4CC,1
2020 Championships,4CC,299.42
2020 Championships,4CC,1
2019-20 Grand Prix,GPF,97.43
2019-20 Grand Prix,GPF,2
2019-20 Grand Prix,GPF,194.00
2019-20 Grand Prix,GPF,2
2019-20 Grand Prix,GPF,291.43
2019-20 Grand Prix,GPF,2
2019-20 Grand Prix,GPJPN,109.34
2019-20 Grand Prix,GPJPN,1
2019-20 Grand Prix,GPJPN,195.71
2019-20 Grand Prix,GPJPN,1
2019-20 Grand Prix,GPJPN,305.05
2019-20 Grand Prix,GPJPN,1
2019-20 Grand Prix,GPCAN,109.60
2019-20 Grand Prix,GPCAN,1
2019-20 Grand Prix,GPCAN,212.99
2019-20 Grand Prix,GPCAN,1
2019-20 Grand Prix,GPCAN,322.59
2019-20 Grand Prix,GPCAN,1
2019-20 Challenger Series,CSCAN,98.38
2019-20 Challenger Series,CSCAN,1
2019-20 Challenger Series,CSCAN,180.67
2019-20 Challenger Series,CSCAN,1
2019-20 Challenger Series,CSCAN,279.05
2019-20 Challenger Series,CSCAN,1
2019 Championships,WC,94.87
2019 Championships,WC,3
2019 Championships,WC,206.10
2019 Championships,WC,2
2019 Championships,WC,300.97
2019 Championships,WC,2
2018-19 Grand Prix,GPRUS,110.53
2018-19 Grand Prix,GPRUS,1
2018-19 Grand Prix,GPRUS,167.89
2018-19 Grand Prix,GPRUS,1
2018-19 Grand Prix,GPRUS,278.42
2018-19 Grand Prix,GPRUS,1
2018-19 Grand Prix,GPFIN,106.69
2018-19 Grand Prix,GPFIN,1
2018-19 Grand Prix,GPFIN,190.43
2018-19 Grand Prix,GPFIN,1
2018-19 Grand Prix,GPFIN,297.12
2018-19 Grand Prix,GPFIN,1
2018-19 Challenger Series,CSCAN,97.74
2018-19 Challenger Series,CSCAN,1
2018-19 Challenger Series,CSCAN,165.91
2018-19 Challenger Series,CSCAN,2
2018-19 Challenger Series,CSCAN,263.65
2018-19 Challenger Series,CSCAN,1
2018 Olympics,OLY,111.68
2018 Olympics,OLY,1
2018 Olympics,OLY,206.17
2018 Olympics,OLY,2
2018 Olympics,OLY,317.85
2018 Olympics,OLY,1
2017-18 Grand Prix,GPRUS,94.85
2017-18 Grand Prix,GPRUS,2
2017-18 Grand Prix,GPRUS,195.92
2017-18 Grand Prix,GPRUS,1
2017-18 Grand Prix,GPRUS,290.77
2017-18 Grand Prix,GPRUS,2
2017-18 Challenger Series,CSCAN,112.72
2017-18 Challenger Series,CSCAN,1
2017-18 Challenger Series,CSCAN,155.52
2017-18 Challenger Series,CSCAN,5
2017-18 Challenger Series,CSCAN,268.24
2017-18 Challenger Series,CSCAN,2
2017 Championships,WC,98.39
2017 Championships,WC,5
2017 Championships,WC,223.20
2017 Championships,WC,1
2017 Championships,WC,321.59
2017 Championships,WC,1
2017 Championships,4CC,97.04
2017 Championships,4CC,3
2017 Championships,4CC,206.67
2017 Championships,4CC,1
2017 Championships,4CC,303.71
2017 Championships,4CC,2
2016-17 Grand Prix,GPF,106.53
2016-17 Grand Prix,GPF,1
2016-17 Grand Prix,GPF,187.37
2016-17 Grand Prix,GPF,3
2016-17 Grand Prix,GPF,293.90
2016-17 Grand Prix,GPF,1
2016-17 Grand Prix,GPJPN,103.89
2016-17 Grand Prix,GPJPN,1
2016-17 Grand Prix,GPJPN,197.58
2016-17 Grand Prix,GPJPN,1
2016-17 Grand Prix,GPJPN,301.47
2016-17 Grand Prix,GPJPN,1
2016-17 Grand Prix,GPCAN,79.65
2016-17 Grand Prix,GPCAN,4
2016-17 Grand Prix,GPCAN,183.41
2016-17 Grand Prix,GPCAN,1
2016-17 Grand Prix,GPCAN,263.06
2016-17 Grand Prix,GPCAN,2
2016-17 Challenger Series,CSCAN,88.30
2016-17 Challenger Series,CSCAN,1
2016-17 Challenger Series,CSCAN,172.27
2016-17 Challenger Series,CSCAN,1
2016-17 Challenger Series,CSCAN,260.57
2016-17 Challenger Series,CSCAN,1
2016-17 Other Internationals,WTT,83.51
2016-17 Other Internationals,WTT,7
2016-17 Other Internationals,WTT,200.49
2016-17 Other Internationals,WTT,1
2016-17 Other Internationals,WTT,284.00
2016-17 Other Internationals,WTT,3
2016 Championships,WC,110.56
2016 Championships,WC,1
2016 Championships,WC,184.61
2016 Championships,WC,2
2016 Championships,WC,295.17
2016 Championships,WC,2
2015-16 Grand Prix,GPF,110.95
2015-16 Grand Prix,GPF,1
2015-16 Grand Prix,GPF,219.48
2015-16 Grand Prix,GPF,1
2015-16 Grand Prix,GPF,330.43
2015-16 Grand Prix,GPF,1
2015-16 Grand Prix,GPJPN,106.33
2015-16 Grand Prix,GPJPN,1
2015-16 Grand Prix,GPJPN,216.07
2015-16 Grand Prix,GPJPN,1
2015-16 Grand Prix,GPJPN,322.40
2015-16 Grand Prix,GPJPN,1
2015-16 Grand Prix,GPCAN,73.25
2015-16 Grand Prix,GPCAN,6
2015-16 Grand Prix,GPCAN,186.29
2015-16 Grand Prix,GPCAN,2
2015-16 Grand Prix,GPCAN,259.54
2015-16 Grand Prix,GPCAN,2
2015-16 Challenger Series,CSCAN,93.14
2015-16 Challenger Series,CSCAN,1
2015-16 Challenger Series,CSCAN,184.05
2015-16 Challenger Series,CSCAN,1
2015-16 Challenger Series,CSCAN,277.19
2015-16 Challenger Series,CSCAN,1
2015 Championships,WC,95.20
2015 Championships,WC,1
2015 Championships,WC,175.88
2015 Championships,WC,3
2015 Championships,WC,271.08
2015 Championships,WC,2
